State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
CALIFORNIA,OXNARD,2018,211737,427.0,8.0,32.0,195.0,192.0,2591.0,351.0,1831.0,409.0,20.0
CALIFORNIA,OXNARD,2019,211737,368.0,7.0,29.0,144.0,188.0,2294.0,343.0,1612.0,339.0,23.0
CALIFORNIA,PALMDALE,2018,158177,325.0,3.0,22.0,84.0,216.0,1203.0,287.0,692.0,224.0,9.0
CALIFORNIA,SAN DIEGO,2019,1436495,2558.0,19.0,263.0,672.0,1604.0,13543.0,1821.0,9193.0,2529.0,59.0
CALIFORNIA,PASADENA,2018,143448,236.0,2.0,21.0,75.0,138.0,1447.0,349.0,934.0,164.0,10.0
CALIFORNIA,PASADENA,2019,143448,329.0,1.0,21.0,78.0,229.0,1358.0,315.0,924.0,119.0,14.0
CALIFORNIA,ORANGE,2018,141108,91.0,2.0,1.0,44.0,44.0,1232.0,239.0,852.0,141.0,10.0
CALIFORNIA,ORANGE,2019,141108,87.0,1.0,6.0,39.0,41.0,1039.0,192.0,734.0,113.0,3.0
CALIFORNIA,PALMDALE,2019,158177,331.0,5.0,27.0,105.0,194.0,1094.0,202.0,691.0,201.0,6.0
CALIFORNIA,SACRAMENTO,2018,507037,1606.0,17.0,54.0,491.0,1044.0,7649.0,1348.0,4887.0,1414.0,62.0
CALIFORNIA,MURRIETA,2018,114706,49.0,2.0,5.0,18.0,24.0,661.0,128.0,435.0,98.0,2.0
CALIFORNIA,RICHMOND,2018,110982,509.0,7.0,13.0,191.0,298.0,2086.0,130.0,1092.0,864.0,17.0
CALIFORNIA,RICHMOND,2019,110982,533.0,7.0,21.0,149.0,356.0,2039.0,229.0,1195.0,615.0,17.0
CALIFORNIA,RIVERSIDE,2018,331022,801.0,9.0,73.0,271.0,448.0,5199.0,754.0,3552.0,893.0,35.0
CALIFORNIA,RIVERSIDE,2019,331022,861.0,5.0,50.0,231.0,575.0,4511.0,638.0,3164.0,709.0,20.0
CALIFORNIA,ROSEVILLE,2018,137706,125.0,2.0,15.0,60.0,48.0,1744.0,231.0,1363.0,150.0,3.0
CALIFORNIA,RIALTO,2018,104173,243.0,2.0,26.0,87.0,128.0,1408.0,226.0,872.0,310.0,7.0
CALIFORNIA,ROSEVILLE,2019,137706,100.0,2.0,14.0,38.0,46.0,1471.0,196.0,1166.0,109.0,6.0
CALIFORNIA,SACRAMENTO,2019,507037,1561.0,18.0,54.0,515.0,974.0,8002.0,1464.0,5131.0,1407.0,66.0
CALIFORNIA,SALINAS,2018,158590,484.0,9.0,54.0,156.0,265.0,2145.0,495.0,1069.0,581.0,13.0
CALIFORNIA,SALINAS,2019,158590,426.0,1.0,37.0,147.0,241.0,2032.0,460.0,997.0,575.0,12.0
CALIFORNIA,RIALTO,2019,104173,253.0,4.0,28.0,78.0,143.0,1618.0,202.0,1116.0,300.0,9.0
CALIFORNIA,SAN BERNARDINO,2019,217986,1373.0,20.0,81.0,452.0,820.0,4373.0,1078.0,2243.0,1052.0,38.0
CALIFORNIA,SAN DIEGO,2018,1436495,2630.0,18.0,310.0,653.0,1649.0,12983.0,1798.0,8698.0,2487.0,91.0
CALIFORNIA,SAN BERNARDINO,2018,217986,1422.0,21.0,87.0,462.0,852.0,4446.0,1119.0,2311.0,1016.0,32.0
CALIFORNIA,SAN FRANCISCO,2018,889282,3060.0,21.0,185.0,1521.0,1333.0,23559.0,2583.0,18998.0,1978.0,128.0
CALIFORNIA,JURUPA VALLEY,2018,107605,134.0,5.0,8.0,45.0,76.0,1389.0,201.0,791.0,397.0,0.0
CALIFORNIA,SAN JOSE,2018,1047305,2077.0,15.0,257.0,788.0,1017.0,13018.0,2253.0,6468.0,4297.0,71.0
